Date,INR
7-Jun-1996,34.86
10-Jun-1996,34.91
11-Jun-1996,34.95
12-Jun-1996,34.94
13-Jun-1996,34.95
14-Jun-1996,35.03
17-Jun-1996,35.07
18-Jun-1996,35.09
19-Jun-1996,35.08
20-Jun-1996,35.08
21-Jun-1996,34.99
24-Jun-1996,35
25-Jun-1996,35.06
26-Jun-1996,35.08
27-Jun-1996,35.08
28-Jun-1996,35.06
1-Jul-1996,35.04
2-Jul-1996,35.05
3-Jul-1996,35.16
4-Jul-1996,35.13
5-Jul-1996,35.13
8-Jul-1996,
9-Jul-1996,35.44
10-Jul-1996,35.4
11-Jul-1996,35.57
12-Jul-1996,35.53
15-Jul-1996,35.61
16-Jul-1996,35.86
17-Jul-1996,35.86
18-Jul-1996,35.86
19-Jul-1996,35.7
22-Jul-1996,35.67
23-Jul-1996,35.54
24-Jul-1996,35.5
25-Jul-1996,35.69
26-Jul-1996,35.8
29-Jul-1996,35.67
30-Jul-1996,35.67
31-Jul-1996,35.68
1-Aug-1996,35.68
2-Aug-1996,35.6
5-Aug-1996,35.55
6-Aug-1996,35.65
7-Aug-1996,35.68
8-Aug-1996,35.75
9-Aug-1996,35.76
12-Aug-1996,35.72
13-Aug-1996,35.69
14-Aug-1996,35.75
15-Aug-1996,
16-Aug-1996,35.68
19-Aug-1996,35.68
20-Aug-1996,35.66
21-Aug-1996,35.67
22-Aug-1996,35.67
23-Aug-1996,35.69
26-Aug-1996,35.73
27-Aug-1996,35.73
28-Aug-1996,35.73
29-Aug-1996,35.78
30-Aug-1996,35.68
2-Sep-1996,35.65
3-Sep-1996,35.71
4-Sep-1996,35.75
5-Sep-1996,35.8
6-Sep-1996,35.81
9-Sep-1996,35.71
10-Sep-1996,35.74
11-Sep-1996,35.72
12-Sep-1996,35.75
13-Sep-1996,35.77
16-Sep-1996,
17-Sep-1996,35.73
18-Sep-1996,35.73
19-Sep-1996,35.72
20-Sep-1996,35.72
23-Sep-1996,35.72
24-Sep-1996,35.72
25-Sep-1996,35.66
26-Sep-1996,35.69
27-Sep-1996,35.76
30-Sep-1996,35.76
1-Oct-1996,35.67
2-Oct-1996,
3-Oct-1996,35.62
4-Oct-1996,35.62
7-Oct-1996,35.63
8-Oct-1996,35.63
9-Oct-1996,35.63
10-Oct-1996,
11-Oct-1996,35.65
14-Oct-1996,35.66
15-Oct-1996,35.66
16-Oct-1996,35.66
17-Oct-1996,35.66
18-Oct-1996,35.66
21-Oct-1996,
22-Oct-1996,35.65
23-Oct-1996,35.6
24-Oct-1996,35.61
25-Oct-1996,35.61
28-Oct-1996,35.62
29-Oct-1996,35.66
30-Oct-1996,35.67
31-Oct-1996,35.68
1-Nov-1996,35.67
4-Nov-1996,35.69
5-Nov-1996,35.72
6-Nov-1996,35.73
7-Nov-1996,35.75
8-Nov-1996,35.75
11-Nov-1996,35.72
12-Nov-1996,
13-Nov-1996,35.8
14-Nov-1996,35.79
15-Nov-1996,35.82
18-Nov-1996,35.77
19-Nov-1996,35.76
20-Nov-1996,35.71
21-Nov-1996,35.73
22-Nov-1996,35.69
25-Nov-1996,
26-Nov-1996,35.72
27-Nov-1996,35.69
28-Nov-1996,35.72
29-Nov-1996,35.76
2-Dec-1996,35.71
3-Dec-1996,35.7
4-Dec-1996,35.76
5-Dec-1996,35.83
6-Dec-1996,35.79
9-Dec-1996,35.81
10-Dec-1996,35.905
11-Dec-1996,35.86
12-Dec-1996,35.91
13-Dec-1996,35.89
16-Dec-1996,35.83
17-Dec-1996,35.83
18-Dec-1996,35.86
19-Dec-1996,35.85
20-Dec-1996,35.84
23-Dec-1996,35.84
24-Dec-1996,35.82
25-Dec-1996,
26-Dec-1996,35.85
27-Dec-1996,35.85
30-Dec-1996,35.94
31-Dec-1996,35.93
2-Jan-1997,35.9
3-Jan-1997,35.93
6-Jan-1997,35.89
7-Jan-1997,35.91
8-Jan-1997,35.89
9-Jan-1997,35.87
10-Jan-1997,35.87
13-Jan-1997,35.86
14-Jan-1997,35.85
15-Jan-1997,35.85
16-Jan-1997,35.86
17-Jan-1997,35.86
20-Jan-1997,35.85
21-Jan-1997,35.85
22-Jan-1997,35.86
23-Jan-1997,
24-Jan-1997,35.85
27-Jan-1997,35.85
28-Jan-1997,35.87
29-Jan-1997,35.87
30-Jan-1997,35.9
31-Jan-1997,35.88
3-Feb-1997,35.88
4-Feb-1997,35.87
5-Feb-1997,35.88
6-Feb-1997,35.87
7-Feb-1997,35.87
10-Feb-1997,35.87
11-Feb-1997,35.88
12-Feb-1997,35.88
13-Feb-1997,35.92
14-Feb-1997,35.96
17-Feb-1997,35.9
18-Feb-1997,35.89
19-Feb-1997,35.89
20-Feb-1997,35.89
21-Feb-1997,35.89
24-Feb-1997,35.9
25-Feb-1997,35.89
26-Feb-1997,35.86
27-Feb-1997,35.89
28-Feb-1997,35.89
3-Mar-1997,35.84
4-Mar-1997,35.83
5-Mar-1997,35.87
6-Mar-1997,35.87
7-Mar-1997,35.87
10-Mar-1997,35.86
11-Mar-1997,35.85
12-Mar-1997,35.84
13-Mar-1997,35.85
14-Mar-1997,35.85
17-Mar-1997,35.86
18-Mar-1997,35.88
19-Mar-1997,35.89
20-Mar-1997,35.9
21-Mar-1997,35.88
24-Mar-1997,35.88
25-Mar-1997,35.89
26-Mar-1997,35.9
27-Mar-1997,35.91
28-Mar-1997,
31-Mar-1997,
1-Apr-1997,35.91
2-Apr-1997,35.88
3-Apr-1997,35.87
4-Apr-1997,35.87
7-Apr-1997,35.87
8-Apr-1997,35.87
9-Apr-1997,35.86
10-Apr-1997,35.84
11-Apr-1997,35.84
14-Apr-1997,
15-Apr-1997,35.83
16-Apr-1997,35.83
17-Apr-1997,35.8
18-Apr-1997,35.8
21-Apr-1997,35.77
22-Apr-1997,35.77
23-Apr-1997,35.77
24-Apr-1997,35.75
25-Apr-1997,35.75
28-Apr-1997,35.77
29-Apr-1997,35.77
30-Apr-1997,35.78
1-May-1997,35.78
2-May-1997,35.75
5-May-1997,35.78
6-May-1997,35.84
7-May-1997,35.88
8-May-1997,35.88
9-May-1997,35.87
12-May-1997,35.83
13-May-1997,35.86
14-May-1997,35.83
15-May-1997,35.82
16-May-1997,35.84
19-May-1997,35.8
20-May-1997,35.8
21-May-1997,35.79
22-May-1997,35.79
23-May-1997,35.78
26-May-1997,35.78
27-May-1997,35.82
28-May-1997,35.83
29-May-1997,35.81
30-May-1997,35.79
2-Jun-1997,35.78
3-Jun-1997,35.81
4-Jun-1997,35.78
5-Jun-1997,35.77
6-Jun-1997,35.78
9-Jun-1997,35.78
10-Jun-1997,35.78
11-Jun-1997,35.8
12-Jun-1997,35.86
13-Jun-1997,35.82
16-Jun-1997,35.82
17-Jun-1997,35.82
18-Jun-1997,35.83
19-Jun-1997,35.82
20-Jun-1997,35.82
23-Jun-1997,35.82
24-Jun-1997,35.82
25-Jun-1997,35.82
26-Jun-1997,35.83
27-Jun-1997,35.84
30-Jun-1997,35.82
1-Jul-1997,35.82
2-Jul-1997,35.82
3-Jul-1997,35.79
4-Jul-1997,35.79
7-Jul-1997,35.78
8-Jul-1997,35.79
9-Jul-1997,35.78
10-Jul-1997,35.76
11-Jul-1997,35.72
14-Jul-1997,35.72
15-Jul-1997,35.72
16-Jul-1997,35.71
17-Jul-1997,35.71
18-Jul-1997,35.71
21-Jul-1997,35.7
22-Jul-1997,35.7
23-Jul-1997,35.7
24-Jul-1997,35.7
25-Jul-1997,35.7
28-Jul-1997,35.7
29-Jul-1997,35.7
30-Jul-1997,35.7
31-Jul-1997,35.71
1-Aug-1997,35.71
4-Aug-1997,35.75
5-Aug-1997,35.74
6-Aug-1997,35.73
7-Aug-1997,35.72
8-Aug-1997,35.72
11-Aug-1997,35.72
12-Aug-1997,35.72
13-Aug-1997,35.73
14-Aug-1997,35.73
15-Aug-1997,
18-Aug-1997,35.73
19-Aug-1997,35.71
20-Aug-1997,35.84
21-Aug-1997,36.08
22-Aug-1997,36.08
25-Aug-1997,36.36
26-Aug-1997,36.37
27-Aug-1997,36.36
28-Aug-1997,36.36
29-Aug-1997,36.36
1-Sep-1997,36.37
2-Sep-1997,36.47
3-Sep-1997,36.5
4-Sep-1997,
5-Sep-1997,36.56
8-Sep-1997,36.67
9-Sep-1997,36.65
10-Sep-1997,36.45
11-Sep-1997,36.56
12-Sep-1997,36.54
15-Sep-1997,36.46
16-Sep-1997,36.49
17-Sep-1997,36.46
18-Sep-1997,36.37
19-Sep-1997,36.4
22-Sep-1997,36.34
23-Sep-1997,36.33
24-Sep-1997,36.29
25-Sep-1997,36.23
26-Sep-1997,36.22
29-Sep-1997,36.18
30-Sep-1997,36.18
1-Oct-1997,36.17
2-Oct-1997,
3-Oct-1997,36.17
6-Oct-1997,36.17
7-Oct-1997,36.2
8-Oct-1997,36.19
9-Oct-1997,36.21
10-Oct-1997,36.26
13-Oct-1997,36.22
14-Oct-1997,36.22
15-Oct-1997,36.25
16-Oct-1997,36.22
17-Oct-1997,36.2
20-Oct-1997,36.21
21-Oct-1997,36.22
22-Oct-1997,36.2
23-Oct-1997,36.22
24-Oct-1997,36.26
27-Oct-1997,36.23
28-Oct-1997,36.29
29-Oct-1997,36.27
30-Oct-1997,36.27
31-Oct-1997,36.4
3-Nov-1997,36.34
4-Nov-1997,36.38
5-Nov-1997,36.36
6-Nov-1997,36.42
7-Nov-1997,36.55
10-Nov-1997,36.56
11-Nov-1997,36.62
12-Nov-1997,36.71
13-Nov-1997,36.73
14-Nov-1997,36.73
17-Nov-1997,36.81
18-Nov-1997,37.52
19-Nov-1997,37.43
20-Nov-1997,37.4
21-Nov-1997,37.47
24-Nov-1997,38.39
25-Nov-1997,38.35
26-Nov-1997,38.56
27-Nov-1997,
28-Nov-1997,38.57
1-Dec-1997,38.78
2-Dec-1997,39.52
3-Dec-1997,39.44
4-Dec-1997,39.01
5-Dec-1997,38.65
8-Dec-1997,38.9
9-Dec-1997,39.01
10-Dec-1997,39.05
11-Dec-1997,39.42
12-Dec-1997,39.73
15-Dec-1997,39.59
16-Dec-1997,39.44
17-Dec-1997,39.46
18-Dec-1997,39.27
19-Dec-1997,39.23
22-Dec-1997,39.17
23-Dec-1997,39.17
24-Dec-1997,39.11
26-Dec-1997,39.24
29-Dec-1997,39.21
