iter	RMSE
388	4.799276053
389	4.796476012
390	4.795772559
391	4.795054666
392	4.789873261
393	4.787763527
394	4.783625366
395	4.782113855
396	4.779628629
397	4.778599469
398	4.775878521
399	4.773698767
400	4.770392183
401	4.764832925
402	4.762084921
403	4.758837348
404	4.754329244
405	4.752091852
406	4.749025737
407	4.745482596
408	4.742429131
409	4.737842303
410	4.734965379
411	4.733639809
412	4.730761456
413	4.727819709
414	4.725405346
415	4.724169315
416	4.720889646
417	4.718100064
418	4.715275994
419	4.713242974
420	4.708554585
421	4.70698218
422	4.703833937
423	4.695142152
424	4.693441514
425	4.691843322
426	4.689113358
427	4.688553605
428	4.687445934
429	4.685567156
430	4.6804004
431	4.67710235
432	4.675330294
433	4.673058365
434	4.671414464
435	4.669727486
436	4.667394685
437	4.666592143
438	4.664289079
439	4.662178596
440	4.657735967
441	4.655151394
442	4.651088155
443	4.648995248
444	4.647631781
445	4.647015901
446	4.644692337
447	4.643528905
448	4.639919231
449	4.63860911
450	4.633279827
451	4.630610913
452	4.628599028
453	4.626538156
454	4.625055971
455	4.621815683
456	4.620938047
457	4.618066936
458	4.615862263
459	4.61473673
460	4.612402563
461	4.6084676
462	4.605739849
463	4.603552179
464	4.602574363
465	4.599918546
466	4.597350706
467	4.595371256
468	4.593222421
469	4.590624661
470	4.587999301
471	4.586805112
472	4.584651383
473	4.578087559
474	4.577218759
475	4.575964169
476	4.574895463
477	4.573533573
478	4.570268629
479	4.564887869
480	4.561872063
481	4.560652503
482	4.555951023
483	4.553554757
484	4.550084366
485	4.547869458
486	4.541327293
487	4.538223956
488	4.535591168
489	4.534176735
490	4.531875682
491	4.531046885
492	4.528171242
493	4.526505604
494	4.519247419
495	4.517849277
496	4.514720993
497	4.512778394
498	4.51199448
499	4.50825563
500	4.507683056
501	4.506035682
502	4.50296047
503	4.500310061
504	4.496385036
505	4.495816728
506	4.494749141
507	4.488447959
508	4.486002434
509	4.479940299
510	4.477181288
511	4.475421508
512	4.473320313
513	4.472248847
514	4.469865627
515	4.466970889
516	4.460649417
